Name deutsch/lokal,Name wissenschaftlich,Einzugsgebiet,Gefährdungsstatus,L. Maggiore,Lower L. Lugano,Upper L. Lugano,L. Geneva,Lower L. Constance,Upper L. Constance,Upper L. Zürich,Lower L. Zürich,Walensee,Rotsee,L. Biel,L. Murten,L. Neuchâtel,L. Alpnach,"L. Lucerne, Gersauer Becken","L. Lucerne, Kreuztrichter","L. Lucerne, Urnersee",Greifensee,Pfäffikersee,L. Brienz,Klöntalersee,Lago di Poschiavo,Lac de Joux,Lac de l'Hongrin,L. Davos,Oeschinensee,L. St. Moritz,L. Silvaplana,L. Sils,Kritische Temperatur °C,Minimale Temperatur °C,Kritischer O2-Grenzwert (mg/l)
Felchen,Coregonus spp,,4,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23.903846153846153,4,3.0
Groppe,Cottus gobio,"Rhein, Rhone, Doubs, Ticino,",4,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,23.903846153846153,4,3.0
Brachsmen,Abramis brama,"Rhein, Rhone, Doubs",NG,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,26.0,0,3.0
Schneider,Alburnoides bipunctatus,"Rhein, Rhone, Doubs",3,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,23.903846153846153,3,3.0
"Laube, Ukelei",Alburnus alburnus,"Rhein, Rhone, Doubs",NG,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,24.0,4,3.0
Alborella,Alburnus arborella,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23.903846153846153,5,3.0
Barbe,Barbus barbus,"Rhein, Rhone, Doubs",4,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,29.0,2,3.0
Barbo canino,Barbus caninus,Ticino,3,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,29.0,X,3.0
Barbo,Barbus plebejus,Ticino,3,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,26.0,5,3.0
Blicke,Blicca bjoerkna,Rhein,4,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,17.0,2,3.0
Nase,Chondrostoma nasus,Rhein,1,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,21.0,X,3.0
Savetta,Chondrostoma soetta,Ticino,1,JA,JA,JA,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23.903846153846153,X,3.0
Karpfen,Cyprinus carpio,"Rhein, Rhone, Doubs, Ticino",4,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,23.903846153846153,X,3.0
Gründling,Gobio gobio,"Rhein, Rhone, Doubs, Ticino",NG,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,28.0,4,3.0
Kurzschnäuziger Grünling,Gobio obtusirostris,Bodensee,DU,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23.0,3,3.0
Moderlieschen,Leucaspius delineatus,Rhein,3,NEIN,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,NEIN,NEIN,JA,JA,NEIN,NEIN,NEIN,23.903846153846153,6,3.0
Hasel,Leuciscus leuciscus,"Rhein, Rhone, Doubs",NG,NEIN,NEIN,NEIN,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,JA,NEIN,JA,JA,JA,JA,NEIN,NEIN,NEIN,23.903846153846153,4,3.0
Soiffe,Parachondrostoma toxostoma,Doubs,1,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,NEIN,23.903846153846153,6,3.0
