Fisch,Name wissenschaftlich,Einzugsgebiet,Gefährdungsstatus,Kritische Temperatur °C,Minimale Temperatur °C,Kritischer O2-Grenzwert (mg/l),See,year,temperature_avg,temperature_min,temperature_max,scenario,depth,überlebt
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2095,9.31,8.12,10.23,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2096,9.28,9.13,10.29,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2097,9.24,8.83,10.12,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2098,9.33,9.03,10.09,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,2099,9.53,7.88,10.65,RCP26,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,1981,7.93,7.5,8.97,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,1982,8.62,8.37,9.11,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,1983,8.35,7.18,8.96,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,1984,7.7,7.27,8.77,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,1985,8.0,7.12,9.32,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,1986,7.78,7.5,9.71,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,1987,8.24,7.42,8.9,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,1988,8.4,8.02,8.89,RCP45,surface,True
Aal,Anguilla anguilla,"Rhein, Rhone, Doubs, Ticino",1,35.0,X,2.5,Oeschinensee,1989,8.31,8.04,9.22,RCP45,surface,True
